id,part_number_id,route_id,demand_date,quantity
1,294,1,2026-01-01,5
2,109,1,2026-01-01,3
3,177,1,2026-01-01,6
4,52,1,2026-01-01,4
5,165,1,2026-01-01,6
6,79,1,2026-01-01,1
7,300,1,2026-01-01,2
8,71,1,2026-01-01,2
9,17,1,2026-01-01,1
10,286,1,2026-01-01,5
11,244,1,2026-01-01,1
12,214,1,2026-01-01,1
13,96,1,2026-01-01,4
14,148,1,2026-01-01,5
15,18,1,2026-01-01,3
16,185,1,2026-01-01,3
17,215,1,2026-01-01,4
18,59,1,2026-01-01,2
19,112,1,2026-01-01,2
20,1,1,2026-01-01,5
21,113,1,2026-01-01,1
22,252,1,2026-01-01,2
23,90,1,2026-01-01,4
24,249,1,2026-01-01,7
25,221,1,2026-01-01,6
26,198,1,2026-01-01,4
27,140,1,2026-01-01,4
28,198,1,2026-01-02,1
29,103,1,2026-01-02,6
30,280,1,2026-01-02,2
31,123,1,2026-01-02,3
32,111,1,2026-01-02,2
33,283,1,2026-01-02,4
34,298,1,2026-01-02,8
35,257,1,2026-01-02,4
36,148,1,2026-01-02,2
37,79,1,2026-01-02,7
38,159,1,2026-01-02,4
39,43,1,2026-01-02,1
40,13,1,2026-01-02,2
41,151,1,2026-01-02,3
42,249,1,2026-01-02,3
43,247,1,2026-01-02,3
44,190,1,2026-01-03,2
45,280,1,2026-01-03,2
46,168,1,2026-01-03,1
47,12,1,2026-01-03,1
48,109,1,2026-01-03,3
49,120,1,2026-01-03,2
50,164,1,2026-01-03,2
51,43,1,2026-01-03,2
52,250,1,2026-01-03,3
53,90,1,2026-01-03,1
54,221,1,2026-01-03,2
55,245,1,2026-01-03,3
56,294,1,2026-01-03,4
57,198,1,2026-01-03,1
58,6,1,2026-01-03,1
59,176,1,2026-01-03,1
60,5,1,2026-01-03,2
61,113,1,2026-01-03,2
62,68,1,2026-01-03,5
63,108,1,2026-01-03,3
64,140,1,2026-01-03,2
65,109,1,2026-01-04,4
66,285,1,2026-01-04,1
67,164,1,2026-01-04,1
68,229,1,2026-01-04,2
69,140,1,2026-01-04,1
70,96,1,2026-01-04,3
71,71,1,2026-01-04,1
72,181,1,2026-01-04,3
73,194,1,2026-01-04,3
74,111,1,2026-01-04,1
75,28,1,2026-01-04,1
76,165,1,2026-01-04,1
77,107,1,2026-01-04,2
78,123,1,2026-01-04,1
79,68,1,2026-01-04,1
80,168,1,2026-01-04,2
81,162,1,2026-01-04,1
82,298,1,2026-01-04,2
83,283,1,2026-01-04,1
84,140,1,2026-01-05,1
85,214,1,2026-01-05,3
86,159,1,2026-01-05,3
87,74,1,2026-01-05,5
88,164,1,2026-01-05,6
89,113,1,2026-01-05,2
90,171,1,2026-01-05,7
91,209,1,2026-01-05,7
92,107,1,2026-01-05,4
93,218,1,2026-01-05,3
94,18,1,2026-01-05,1
95,81,1,2026-01-05,4
96,177,1,2026-01-05,2
97,294,1,2026-01-05,1
