id,code,family,weight_kg,length_mm,width_mm,height_mm
1,PN-1000,Elétrico,3.03,1131,453,394
2,PN-1001,Motor,3.13,393,57,415
3,PN-1002,Suspensão,10.07,297,449,511
4,PN-1003,Interior,3.17,681,344,67
5,PN-1004,Chassi,4.78,533,572,236
6,PN-1005,Suspensão,0.63,152,705,30
7,PN-1006,Elétrico,11.59,987,771,35
8,PN-1007,Elétrico,7.01,1021,503,150
9,PN-1008,Chassi,3.65,901,315,370
10,PN-1009,Interior,2.92,755,377,539
11,PN-1010,Motor,5.84,506,174,470
12,PN-1011,Suspensão,8.5,669,751,398
13,PN-1012,Interior,11.69,644,683,473
14,PN-1013,Elétrico,6.85,231,689,128
15,PN-1014,Motor,4.03,134,289,508
16,PN-1015,Chassi,7.59,333,284,537
17,PN-1016,Interior,6.66,567,691,84
18,PN-1017,Chassi,4.05,225,453,297
19,PN-1018,Elétrico,6.52,163,575,503
20,PN-1019,Interior,6.44,1028,412,301
21,PN-1020,Elétrico,3.64,474,376,509
22,PN-1021,Motor,2.49,717,520,563
23,PN-1022,Suspensão,6.06,647,657,300
24,PN-1023,Suspensão,1.54,892,293,63
25,PN-1024,Elétrico,1.24,898,654,223
26,PN-1025,Chassi,4.84,383,225,152
27,PN-1026,Interior,5.94,1023,346,300
28,PN-1027,Chassi,4.81,470,733,363
29,PN-1028,Chassi,5.2,1008,765,294
30,PN-1029,Interior,5.87,509,742,141
31,PN-1030,Elétrico,10.1,168,280,201
32,PN-1031,Suspensão,6.94,921,680,417
33,PN-1032,Motor,6.79,74,751,45
34,PN-1033,Motor,4.57,935,783,152
35,PN-1034,Interior,4.69,90,55,538
36,PN-1035,Chassi,3.41,279,606,86
37,PN-1036,Chassi,5.09,739,797,266
38,PN-1037,Interior,1.47,1132,621,147
39,PN-1038,Chassi,10.13,513,217,89
40,PN-1039,Interior,1.87,179,619,270
41,PN-1040,Motor,6.93,310,119,327
42,PN-1041,Elétrico,9.29,1079,405,130
43,PN-1042,Elétrico,6.92,883,515,74
44,PN-1043,Motor,15.73,156,386,106
45,PN-1044,Elétrico,0.43,486,571,401
46,PN-1045,Elétrico,2.63,346,222,520
47,PN-1046,Motor,9.18,246,500,132
48,PN-1047,Motor,1.19,1021,530,212
49,PN-1048,Interior,1.93,756,521,225
50,PN-1049,Chassi,5.61,248,259,235
51,PN-1050,Chassi,4.0,794,272,169
52,PN-1051,Chassi,5.37,519,235,61
53,PN-1052,Elétrico,4.26,111,390,329
54,PN-1053,Interior,4.56,561,485,233
55,PN-1054,Elétrico,2.1,254,315,225
56,PN-1055,Elétrico,4.45,324,351,180
57,PN-1056,Interior,2.78,1059,257,559
58,PN-1057,Interior,3.1,863,206,377
59,PN-1058,Chassi,6.86,195,539,268
60,PN-1059,Chassi,1.13,1027,660,147
61,PN-1060,Interior,0.24,706,260,486
62,PN-1061,Interior,6.52,1054,694,536
63,PN-1062,Interior,4.45,906,473,48
64,PN-1063,Elétrico,9.28,433,167,559
65,PN-1064,Interior,1.97,660,318,428
66,PN-1065,Interior,3.55,655,45,86
67,PN-1066,Interior,4.11,875,69,459
68,PN-1067,Motor,2.33,328,295,91
69,PN-1068,Chassi,1.75,426,385,58
70,PN-1069,Motor,6.75,323,646,95
71,PN-1070,Chassi,1.02,383,142,292
72,PN-1071,Motor,1.5,227,677,383
73,PN-1072,Suspensão,3.46,82,218,262
74,PN-1073,Chassi,7.3,1130,145,99
75,PN-1074,Chassi,2.46,126,571,143
76,PN-1075,Motor,2.2,1070,628,515
77,PN-1076,Motor,3.3,43,499,578
78,PN-1077,Interior,5.01,941,127,459
79,PN-1078,Interior,2.9,420,127,88
80,PN-1079,Elétrico,7.96,640,336,497
81,PN-1080,Interior,8.19,367,382,424
82,PN-1081,Motor,3.46,609,798,329
83,PN-1082,Elétrico,13.03,563,257,111
84,PN-1083,Chassi,4.04,654,186,598
85,PN-1084,Chassi,8.0,496,758,282
86,PN-1085,Chassi,4.91,662,157,55
87,PN-1086,Elétrico,4.84,997,60,149
88,PN-1087,Interior,0.79,544,361,258
89,PN-1088,Chassi,1.38,459,344,65
90,PN-1089,Interior,3.03,192,510,214
91,PN-1090,Chassi,8.14,457,707,296
92,PN-1091,Interior,4.96,185,749,570
93,PN-1092,Motor,3.05,251,260,79
94,PN-1093,Motor,5.98,1144,785,358
95,PN-1094,Motor,7.94,143,520,551
96,PN-1095,Interior,3.85,599,92,489
97,PN-1096,Motor,4.53,1007,753,557
98,PN-1097,Chassi,4.11,1145,144,127
99,PN-1098,Chassi,3.67,210,487,486
100,PN-1099,Suspensão,1.95,229,640,587
101,PN-1100,Suspensão,1.82,472,229,215
102,PN-1101,Interior,5.95,683,245,314
103,PN-1102,Motor,8.04,1153,401,332
104,PN-1103,Suspensão,3.04,280,712,311
105,PN-1104,Elétrico,2.99,230,209,195
106,PN-1105,Elétrico,0.56,333,544,583
107,PN-1106,Motor,0.44,1054,383,575
108,PN-1107,Motor,9.48,74,125,247
109,PN-1108,Chassi,2.07,480,580,489
110,PN-1109,Suspensão,16.45,177,672,256
111,PN-1110,Interior,2.4,222,477,483
112,PN-1111,Chassi,0.82,1103,174,363
113,PN-1112,Motor,4.14,41,158,297
114,PN-1113,Interior,6.69,412,361,102
115,PN-1114,Chassi,6.18,1101,424,403
116,PN-1115,Suspensão,7.16,745,459,213
117,PN-1116,Elétrico,1.61,123,225,153
118,PN-1117,Elétrico,9.32,579,420,140
119,PN-1118,Motor,9.7,1166,264,589
120,PN-1119,Interior,9.98,504,561,88
121,PN-1120,Interior,4.65,653,645,485
122,PN-1121,Interior,2.86,656,536,523
123,PN-1122,Chassi,2.65,806,40,47
124,PN-1123,Motor,0.81,257,793,365
125,PN-1124,Chassi,2.45,1014,58,359
126,PN-1125,Interior,0.21,1186,799,234
127,PN-1126,Motor,0.69,205,64,410
128,PN-1127,Chassi,4.62,989,432,262
129,PN-1128,Chassi,3.13,987,120,280
130,PN-1129,Interior,4.47,900,112,275
131,PN-1130,Chassi,6.34,470,559,486
132,PN-1131,Suspensão,5.09,583,593,390
133,PN-1132,Interior,4.78,1013,129,246
134,PN-1133,Motor,3.58,217,782,558
135,PN-1134,Interior,2.0,1001,283,487
136,PN-1135,Chassi,1.2,1107,281,561
137,PN-1136,Suspensão,2.5,830,265,446
138,PN-1137,Interior,3.63,436,390,253
139,PN-1138,Elétrico,3.99,688,175,470
140,PN-1139,Chassi,7.18,98,362,217
141,PN-1140,Interior,3.38,1120,199,184
142,PN-1141,Interior,5.7,437,79,287
143,PN-1142,Suspensão,0.94,106,320,582
144,PN-1143,Interior,4.67,961,550,353
145,PN-1144,Interior,4.43,802,619,248
146,PN-1145,Motor,9.33,762,308,293
147,PN-1146,Motor,3.13,102,286,195
148,PN-1147,Interior,3.03,910,638,405
149,PN-1148,Motor,6.37,779,557,229
150,PN-1149,Chassi,1.29,960,672,346
151,PN-1150,Elétrico,4.58,999,728,240
152,PN-1151,Suspensão,1.23,285,664,212
153,PN-1152,Chassi,12.18,284,751,583
154,PN-1153,Interior,2.71,1111,356,227
155,PN-1154,Chassi,1.15,655,339,70
156,PN-1155,Interior,2.49,548,284,245
157,PN-1156,Motor,4.6,373,218,333
158,PN-1157,Interior,5.58,781,609,83
159,PN-1158,Elétrico,9.0,914,582,204
160,PN-1159,Elétrico,2.24,42,649,124
161,PN-1160,Chassi,6.57,681,167,315
162,PN-1161,Suspensão,0.69,1192,413,442
163,PN-1162,Chassi,1.51,365,208,582
164,PN-1163,Chassi,0.97,365,718,251
165,PN-1164,Interior,1.9,1058,243,522
166,PN-1165,Motor,6.37,111,149,152
167,PN-1166,Elétrico,2.28,501,473,474
168,PN-1167,Elétrico,2.67,571,708,350
169,PN-1168,Motor,4.69,965,735,462
170,PN-1169,Suspensão,5.41,189,113,460
171,PN-1170,Motor,2.74,543,287,333
172,PN-1171,Interior,1.5,216,156,176
173,PN-1172,Motor,10.88,953,273,329
174,PN-1173,Suspensão,2.75,773,445,501
175,PN-1174,Chassi,2.98,616,253,583
176,PN-1175,Chassi,3.3,495,91,558
177,PN-1176,Motor,5.82,217,427,133
178,PN-1177,Suspensão,0.89,1109,80,370
179,PN-1178,Suspensão,13.73,791,212,89
180,PN-1179,Elétrico,2.92,410,40,411
181,PN-1180,Suspensão,5.97,520,105,595
182,PN-1181,Suspensão,1.16,882,371,59
183,PN-1182,Interior,4.34,874,686,404
184,PN-1183,Motor,12.35,574,628,568
185,PN-1184,Elétrico,11.22,391,115,512
186,PN-1185,Interior,5.85,805,66,253
187,PN-1186,Motor,1.79,803,296,89
188,PN-1187,Chassi,8.68,735,535,556
189,PN-1188,Elétrico,0.68,124,607,555
190,PN-1189,Motor,1.73,588,665,360
191,PN-1190,Suspensão,3.6,752,300,587
192,PN-1191,Chassi,0.76,1142,167,32
193,PN-1192,Chassi,2.48,649,60,381
194,PN-1193,Elétrico,6.67,437,151,51
195,PN-1194,Chassi,2.08,684,89,563
196,PN-1195,Chassi,6.89,245,694,417
197,PN-1196,Interior,16.15,145,243,550
198,PN-1197,Suspensão,5.1,826,665,350
199,PN-1198,Chassi,6.81,1183,460,77
200,PN-1199,Motor,8.88,1021,449,45
201,PN-1200,Elétrico,2.68,717,385,221
202,PN-1201,Suspensão,6.69,86,662,453
203,PN-1202,Interior,2.63,1186,73,116
204,PN-1203,Chassi,4.84,561,110,515
205,PN-1204,Chassi,7.41,376,361,166
206,PN-1205,Chassi,1.87,1075,339,312
207,PN-1206,Chassi,0.25,905,454,145
208,PN-1207,Interior,1.71,909,600,295
209,PN-1208,Chassi,8.18,362,486,287
210,PN-1209,Interior,1.51,1190,235,33
211,PN-1210,Interior,7.87,565,288,353
212,PN-1211,Interior,1.72,656,611,478
213,PN-1212,Chassi,3.21,911,193,563
214,PN-1213,Elétrico,3.79,805,423,218
215,PN-1214,Elétrico,1.51,239,449,531
216,PN-1215,Elétrico,3.24,390,610,530
217,PN-1216,Chassi,0.81,458,582,593
218,PN-1217,Chassi,2.88,1139,393,242
219,PN-1218,Suspensão,3.55,868,274,515
220,PN-1219,Motor,0.27,464,319,352
221,PN-1220,Motor,1.69,892,352,63
222,PN-1221,Interior,4.74,896,206,184
223,PN-1222,Interior,1.35,497,515,413
224,PN-1223,Suspensão,5.32,507,198,121
225,PN-1224,Motor,5.7,1077,532,277
226,PN-1225,Suspensão,4.72,691,611,471
227,PN-1226,Chassi,6.64,213,770,115
228,PN-1227,Interior,0.75,874,130,313
229,PN-1228,Interior,7.64,723,617,152
230,PN-1229,Chassi,1.53,630,105,335
231,PN-1230,Chassi,4.13,881,296,167
232,PN-1231,Motor,12.03,1092,173,580
233,PN-1232,Suspensão,2.83,423,163,73
234,PN-1233,Interior,3.87,526,173,579
235,PN-1234,Suspensão,1.54,259,73,481
236,PN-1235,Elétrico,11.95,790,665,517
237,PN-1236,Interior,1.7,507,86,515
238,PN-1237,Elétrico,6.06,437,342,136
239,PN-1238,Chassi,8.87,847,571,560
240,PN-1239,Chassi,6.48,513,792,368
241,PN-1240,Elétrico,4.94,578,688,578
242,PN-1241,Elétrico,4.09,550,144,530
243,PN-1242,Chassi,1.15,339,790,360
244,PN-1243,Interior,11.6,185,536,243
245,PN-1244,Interior,4.64,999,176,96
246,PN-1245,Suspensão,3.87,146,381,87
247,PN-1246,Interior,1.42,416,737,252
248,PN-1247,Motor,4.02,814,338,492
249,PN-1248,Motor,3.68,192,179,318
250,PN-1249,Motor,12.03,800,705,304
251,PN-1250,Interior,3.87,890,764,169
252,PN-1251,Suspensão,3.97,808,781,351
253,PN-1252,Interior,1.43,393,766,393
254,PN-1253,Chassi,2.02,62,703,589
255,PN-1254,Chassi,5.56,1069,385,445
256,PN-1255,Elétrico,0.6,418,186,376
257,PN-1256,Elétrico,7.62,973,509,548
258,PN-1257,Chassi,7.76,269,207,272
259,PN-1258,Chassi,1.83,228,399,562
260,PN-1259,Interior,4.95,942,538,240
261,PN-1260,Chassi,9.07,1130,759,102
262,PN-1261,Elétrico,3.45,1038,259,268
263,PN-1262,Motor,2.96,911,231,103
264,PN-1263,Chassi,3.26,326,598,97
265,PN-1264,Suspensão,4.63,1099,44,532
266,PN-1265,Chassi,2.25,814,470,483
267,PN-1266,Motor,2.76,239,606,156
268,PN-1267,Chassi,4.7,190,458,507
269,PN-1268,Chassi,2.57,1050,331,69
270,PN-1269,Chassi,1.31,359,669,192
271,PN-1270,Chassi,0.54,928,321,432
272,PN-1271,Chassi,3.93,200,580,203
273,PN-1272,Chassi,8.69,365,392,446
274,PN-1273,Interior,5.13,368,60,528
275,PN-1274,Interior,1.37,366,443,67
276,PN-1275,Motor,2.0,822,77,43
277,PN-1276,Motor,2.94,1100,747,565
278,PN-1277,Interior,12.29,1095,497,326
279,PN-1278,Suspensão,12.73,900,322,318
280,PN-1279,Suspensão,11.75,274,409,294
281,PN-1280,Chassi,4.24,1154,510,277
282,PN-1281,Chassi,23.14,668,237,423
283,PN-1282,Chassi,2.09,673,259,360
284,PN-1283,Chassi,2.86,853,358,123
285,PN-1284,Interior,7.21,932,236,387
286,PN-1285,Motor,4.72,1145,616,410
287,PN-1286,Chassi,4.92,715,118,94
288,PN-1287,Motor,1.59,747,668,244
289,PN-1288,Interior,3.66,904,304,480
290,PN-1289,Chassi,2.12,335,466,382
291,PN-1290,Elétrico,1.07,396,159,107
292,PN-1291,Chassi,2.35,765,332,52
293,PN-1292,Suspensão,4.72,114,613,361
294,PN-1293,Chassi,6.41,411,245,293
295,PN-1294,Elétrico,0.51,872,140,577
296,PN-1295,Suspensão,3.8,1172,436,327
297,PN-1296,Suspensão,3.53,642,163,560
298,PN-1297,Elétrico,4.54,503,279,152
299,PN-1298,Elétrico,1.39,550,382,284
300,PN-1299,Interior,1.42,835,468,109
